Operation time,Number of operations,Rail point,c2_,c3_,c4_,c5_,sd_,alarms,c3a_,c3ao_
2.92,921.0,Sydney:SY265,cluster 1,cluster 1,cluster 1,cluster 1,2.0,11.0,cluster 0,cluster 0
2.68,552.0,Sydney:SY266,cluster 0,cluster 1,cluster 2,cluster 4,2.0,4.0,cluster 0,cluster 0
3.09,34.0,Sydney:SY615,cluster 0,cluster 0,cluster 0,cluster 0,2.0,8.0,cluster 0,cluster 0
2.61,33.0,Sydney:SY616,cluster 0,cluster 0,cluster 0,cluster 0,2.0,3.0,cluster 0,cluster 0
2.84,61.0,Sydney:SY617,cluster 0,cluster 0,cluster 0,cluster 0,2.0,12.0,cluster 0,cluster 0
2.8,44.0,Sydney:SY618,cluster 0,cluster 0,cluster 0,cluster 0,2.0,4.0,cluster 0,cluster 0
4.15,39.0,Sydney:SY619,cluster 0,cluster 0,cluster 0,cluster 0,2.0,0.0,cluster 0,cluster 0
2.19,2364.0,Sydney:SY620,cluster 1,cluster 2,cluster 3,cluster 2,2.0,4.0,cluster 0,cluster 0
2.86,78.0,Sydney:SY621,cluster 0,cluster 0,cluster 0,cluster 0,2.0,44.0,cluster 2,cluster 0
2.34,129.0,Sydney:SY622,cluster 0,cluster 0,cluster 0,cluster 0,2.0,4.0,cluster 0,cluster 0
2.47,105.0,Sydney:SY623,cluster 0,cluster 0,cluster 0,cluster 0,2.0,4.0,cluster 0,cluster 0
2.16,155.0,Sydney:SY624,cluster 0,cluster 0,cluster 0,cluster 0,2.0,0.0,cluster 0,cluster 0
2.87,206.0,Sydney:SY625,cluster 0,cluster 0,cluster 0,cluster 0,2.0,4.0,cluster 0,cluster 0
3.53,1949.0,Sydney:SY626,cluster 1,cluster 2,cluster 3,cluster 3,2.0,0.0,cluster 0,cluster 0
3.01,1094.0,Sydney:SY627,cluster 1,cluster 1,cluster 1,cluster 1,2.0,69.0,cluster 2,cluster 0
3.16,478.0,Sydney:SY628,cluster 0,cluster 0,cluster 2,cluster 4,2.0,19.0,cluster 0,cluster 0
2.26,555.0,Sydney:SY629,cluster 0,cluster 1,cluster 2,cluster 4,2.0,12.0,cluster 0,cluster 0
2.48,120.0,Sydney:SY630,cluster 0,cluster 0,cluster 0,cluster 0,2.0,28.0,cluster 2,cluster 0
